,Title,Title_URL,Info,Number,Address,addax_URL,addax,additionallink_URL,additionallink,categories_URL,categories,proffoption,uiwide,findsimilar,Info1,Info2,Info3,uiwide4,addax_URL5,addax6,addax7,Name,lonLat,x,y
0,Resthon AS,https://proff.no/selskap/resthon-as/oslo/barer-og-puber/IF5JYUK01X8/,Mer info,Org nr 916 322 348,"Stenersgata 2, 0184 Oslo",tel:22423420,22 42 34 20,https://proff.no/karts%C3%B8k?id=IF5JYUK01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/restauranter-og-kafeer/I:47390/?q=Restauranter%20og%20kafeer,Restauranter og kafeer,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            92 391' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            281
        ",Daglig leder,https://proff.no/rolle/tore-kristian-melg%C3%A5rdshagen/-/478735/,Tore Kristian Melgårdshagen,(f 1967),,Error,E,r
1,Old Irish Pub Norway AS,https://proff.no/selskap/old-irish-pub-norway-as/oslo/barer-og-puber/IF72GLK01X8/,Mer info,Org nr 918 864 776,"Tollbugata 27, 0157 Oslo",tel:22427700,22 42 77 00,https://proff.no/karts%C3%B8k?id=IF72GLK01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            58 929' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            287
        ",Daglig leder,https://proff.no/rolle/simon-vistisen-m%C3%B8ller/-/2107375/,Simon Vistisen Møller,(f 1992),,"[10.740323, 59.911453]",10.740323,59.911453
2,Sio Mat og Drikke AS,https://proff.no/selskap/sio-mat-og-drikke-as/oslo/barer-og-puber/IFVY8U501X8/,Mer info,Org nr 960 658 493,"Problemveien 11, 0371 Oslo",tel:22853380,22 85 33 80,https://proff.no/karts%C3%B8k?id=IFVY8U501X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/restauranter-og-kafeer/I:47390/?q=Restauranter%20og%20kafeer,Restauranter og kafeer,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            55 250' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            166
        ",Daglig leder,https://proff.no/rolle/fredrik-%C3%B8ren-refsnes/-/1075265/,Fredrik Øren Refsnes,(f 1983),,"[10.721295, 59.940506]",10.721295,59.940506
3,Oslo Street Food AS,https://proff.no/selskap/oslo-street-food-as/oslo/barer-og-puber/IF84OIG01X8/,Mer info,Org nr 920 647 960,"Torggata 16, 0181 Oslo",tel:90415094,904 15 094,https://proff.no/karts%C3%B8k?id=IF84OIG01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            48 483' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            87
        ",Daglig leder,https://proff.no/rolle/kim-agathon-fager-svarthol/-/1337322/,Kim-Agathon Fager Svarthol,(f 1984),,"[10.751005, 59.915926]",10.751005,59.915926
4,Avdeling 14 Arkaden,https://proff.no/selskap/avdeling-14-arkaden/oslo/barer-og-puber/IF5J2M401X8/,Mer info,Org nr 916 280 572,"Skippergata 9, 0152 Oslo",tel:40092364,400 92 364,https://proff.no/karts%C3%B8k?id=IF5J2M401X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            38 955' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            89
        ",Daglig leder,https://proff.no/rolle/pernilla-maria-persson/-/2200991/,Pernilla Maria Persson,(f 1970),Stockfleth AS,"[10.745289, 59.908289]",10.745289,59.908289
5,Bp Pubutvikling AS,https://proff.no/selskap/bp-pubutvikling-as/oslo/barer-og-puber/IFYTYQP01X8/,Mer info,Org nr 965 497 633,"Rådhusgata 32, 0151 Oslo",,,https://proff.no/karts%C3%B8k?id=IFYTYQP01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            27 579' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            19
        ",Daglig leder,https://proff.no/rolle/rolf-fredrik-ekelund/-/1295549/,Rolf Fredrik Ekelund,(f 1980),,"[10.738916, 59.910205]",10.738916,59.910205
6,Lawo Terrasse,https://proff.no/selskap/lawo-terrasse/oslo/barer-og-puber/IGCK95U01X8-1/,Mer info,Org nr 988 559 202,"Karl Johans gate 26, 0162 Oslo",tel:23356310,23 35 63 10,https://proff.no/karts%C3%B8k?id=IGCK95U01X8-1,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            25 705' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            75
        ",Daglig leder,https://proff.no/rolle/frederik-holger-mygind/-/1895528/,Frederik Holger Mygind,(f 1985),Johns Bar AS,"[10.734686, 59.914823]",10.734686,59.914823
7,Johns Bar AS,https://proff.no/selskap/johns-bar-as/oslo/barer-og-puber/IGCK95U01X8/,Mer info,Org nr 988 559 202,"Universitetsgata 26, 0162 Oslo",tel:40007078,400 07 078,https://proff.no/karts%C3%B8k?id=IGCK95U01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            25 705' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            75
        ",Daglig leder,https://proff.no/rolle/frederik-holger-mygind/-/1895528/,Frederik Holger Mygind,(f 1985),,"[10.736746, 59.914883]",10.736746,59.914883
8,Scene og Pubdrift AS,https://proff.no/selskap/scene-og-pubdrift-as/oslo/barer-og-puber/IF903A001X8/,Mer info,Org nr 922 113 432,"Karl Johans gate 27, 0159 Oslo",,,https://proff.no/karts%C3%B8k?id=IF903A001X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            21 414' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            0
        ",Daglig leder,https://proff.no/rolle/morten-guldvik/-/906603/,Morten Guldvik,(f 1984),,"[10.73997, 59.913595]",10.73997,59.913595
9,Hasle Linie Gastropub AS,https://proff.no/selskap/hasle-linie-gastropub-as/oslo/barer-og-puber/IF34T8U01X8/,Mer info,Org nr 912 256 014,"Bøkkerveien 4, 0579 Oslo",,,https://proff.no/karts%C3%B8k?id=IF34T8U01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            20 901' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            31
        ",Daglig leder,https://proff.no/rolle/rolf-fredrik-ekelund/-/1295549/,Rolf Fredrik Ekelund,(f 1980),,"[10.793998, 59.92698]",10.793998,59.92698
10,London Pub,https://proff.no/selskap/london-pub/oslo/barer-og-puber/IGE3OXT01X8/,Mer info,Org nr 991 145 729,"C. J. Hambros plass 5, 0164 Oslo",tel:22708700,22 70 87 00,https://proff.no/karts%C3%B8k?id=IGE3OXT01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/restauranter-og-kafeer/I:47390/?q=Restauranter%20og%20kafeer,Restauranter og kafeer,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            16 230' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            40
        ",Daglig leder,https://proff.no/rolle/avni-fetisi/-/984013/,Avni Fetisi,(f 1970),London Per Drift AS,"[10.74086, 59.915408]",10.74086,59.915408
11,Vineria Ventidue,https://proff.no/selskap/vineria-ventidue/oslo/barer-og-puber/IF6UP1701X8/,Mer info,Org nr 918 502 459,"Gimleveien 22, 0266 Oslo",tel:91358080,913 58 080,https://proff.no/karts%C3%B8k?id=IF6UP1701X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            15 084' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            32
        ",Daglig leder,https://proff.no/rolle/alessandro-parmeggiani/-/4344/,Alessandro Parmeggiani,(f 1963),Vineria AS,"[10.705522, 59.920224]",10.705522,59.920224
