,,,,,,
Navn,Sol hele dagen,Fra,Til,Kommentar,lat,lon
FYR Bistronomi & Bar,Ja,,,Vi har sol hela dagen och sen försvinner den vid 7-8 och kommer tillbaka igen vid 9-10 :),59.92377,10.72631
Lardoise,Nei,15:00,19:00,,59.9291875,10.7330625
Ristorante Prima Fila,Nei,09:00,18:00,,59.9133125,10.7346875
Lofthus Samvirkelag Tranen,Nei,10:30,15:00,,59.928186946788855,10.749090832296009
Mucho Mas,Nei,12:00,20:00,,59.924406974004626,10.759399014878918
Park 29,Nei,09:00,20:00,,59.92061074077165,10.727613091966004
Cafe Laundromat,Nei,09:00,11:00,Morgen,59.92583592937582,10.730504361284519
Baker Hansen Hasle Torg,Ja,,,,59.92403564550359,10.79237279991338
Baker Hansen Schultz gate,Nei,14:00,20:00,Dukker opp 14,59.92777140429611,10.720181261285916
Baker Hansen Sjølyst,Nei,11:00,15:30,Tror han,59.92095197427683,10.682186945938668
Baker Hansen Nydalen,Nei,14:00,20:00,Fra og med 14,59.94976382876256,10.765626376643763
Baker Hansen Vogtsgate,Ja,,,,59.93718948491685,10.766274530607554
Baker Hansen Røa,Nei,14:00,20:00,Fra og med 14,59.94863835138261,10.643862876642883
Anne Borgen ?,Nei,12:00,15:00,,59.92177479067826,10.711436461281748
Kiosken Bar,Nei,,,Noen timer etter lunch,59.912333304329465,10.73500927661777
Jørn Bertheussen Majorstuen,Ja,,,,59.91721423647828,10.752479610255367
Jørn Bertheussen Aker brygge,Nei,11:00,13:00,,59.91721423647829,10.752479610255368
Pokalen Aker Brygge,Nei,15:00,,fra 1500,59.90992546825742,10.724467061273508
Sir Winston Public House,Nei,18:00,20:00,,59.912232105640506,10.746482276617494
Kafe Oslo,Ja,,,Hele formiddag og kveld,59.920839794113895,10.728400045938631
Engebret Cafe,Nei,,17:00,"Noen få bord som har sol enhver tid, men ikke mye etter 17",59.9091592943782,10.74199057661559
Latter,Nei,,,1-3 timer på ettermiddagen på sommer,59.911281648928764,10.726776061274313
Baker Hansen Asker,Nei,12:30,,Fra 12:30,59.8349732360688,10.43256221519375
Hao Restaurant,Nei,13:00,17:00,"6 sitteplasser, 3 bord",59.92889652678652,10.71498459197142
Baker Hansen Wesselsgate,Nei,09:00,,fra soloppgang til etter lunch,59.9200598140109,10.743248030595561
Baker Hansen Stadion,Nei,14:00,15:30,,59.93032470302603,10.795653659564742
Baker Hansen Vika,Nei,12:00,16:00,Litt usikker,59.91479864602812,10.72900844593447
Brasserie Ouest,Nei,17:30,19:30,,59.91906189631676,10.706084707307166
Michaels,Nei,11:00,,Fra kl 11,"59.923030573592484,",10.715374415255113
Herregaardskroen,Nei,14:00,19:00,,59.92496314729814,10.702206384571404
Cafero,Nei,,11:30,Morgen til 11-12,59.92205807832804,10.68754105333694
Nabo Restaurant,Nei,15:00,21:00,,59.930201195624974,10.711950291972503
Baker Hanse Kvadraturen,Nei,12:00,,til 14/15,59.910634194585164,10.743431745931407
Baker Hansen Løren,Nei,12:00,,Fra 12,59.910634194585165,10.743431745931408
Baker Hansen Vinderen,Ja,,,,59.910634194585166,10.743431745931409
Koloni Hagen Frogner,Nei,14:00,16:00,,59.919331223923585,10.70997946127997
Le Benjamin Bar & Bistro,Nei,16:00,19:00,,59.919018355211755,10.757816115252428
Beer Palace,Nei,,17:00,Fra de åpner,59.91100089030946,10.726122061274085
Tullins Cafe,Nei,11:00,15-16,,59.91920621528013,10.734880591964927
Seaport Restaurant,Nei,12:00,,,59.903114061533216,10.753259422638678
Grand Hotel Oslo,Ja,,,,59.914175294068826,10.739193384564008
Cartels Solli Plass,Nei,,18:00,Latest,59.91522837974212,10.719968653331911
Kafe Å,Nei,11:00,13:00,,59.91438229125295,10.7175415305916
Underbar,Nei,,,Vi har ikke mange minutter med sol og de er på ettermiddagen rundt kl 15:00.,59.91099992160457,10.726105615246698
Chat D'or,Ja,,,til kl 20,59.92162486643037,10.705273237994078
La Såda,Nei,17:00,19:00,,59.928498021018356,10.721781791971312
Dattera,Nei,,18:00,,59.91369277281202,10.759891369221155
AsianBox,Nei,15:00,16:30,,59.92558382026384,10.725129476626925
Cafe Europa ,Ja,,,,59.918301205186935,10.735183253334212
Baker Hansen Bekkestua,Nei,,14:00,Formiddag til 14,59.917726111892655,10.586564769223939
Somerro,Ja,,,Begge sider av takterasse,59.915454611668146,10.719558945934992
Apertivo Oslo,Ja,,,Morning to evening,59.92078728548888,10.729514999911126
Grains Majorstuen,Nei,13:30,,Kommer kl 13:30,59.93057578601317,10.71572534594536
Lofthus Samvirkelag Holtet,Ja,,21:00,Forsvinner 2030-21,59.88222168882702,10.78411354591175
Bølgen & Moi Gimle,Nei,13:00,18:00,,59.918694732583155,10.706067699909578
Bølgen & Moi Tjuvholmen,Nei,14:30,21:00,,59.90960800598122,10.722937830588124
The Thief,Nei,,,Kveldssol,59.908090576845794,10.721252937984712
Lofthus Samvirkelag Damplass,Nei,,19:00,Fra morgen,59.944253126349935,10.732529115270047
Anne på Landet Frogner,Nei,11:00,20:00,Flytte på seg for å ha sol hele tiden. ,59.92531042345194,10.703735869229261
Anne På landet Hvervenbukta,Nei,12:00,22:00,Forsvinnner bak nesodden,59.83322389883581,10.772909669165172
Anne på Landet Hønse-Louises,Nei,,18:00,"Før 12 på den ene siden av huset, etter 12 på den andre",59.93127695886994,10.757698076630767
Bread n Butter,Nei,11:00,15:00,"Skriver de har sol nesten hele dag, men dette er best",59.93388372190759,10.760970069235308
Lorry,Nei,14:00,,,59.92115577190006,10.728577869226429
Ghost Pizza,Nei,16:30,18:30,Kun 10stk sitteplasser,59.9282400253648,10.71406015334098
Rouleur Bar & Café,Nei,,17:00,Sol frem til 17,59.92449150253462,10.740522791968425
ROSL /// Culture & Cycling,,,17:00,Sol frem til 17,59.92449150253462,10.740522791968426
Frauna,Nei,,18:00,Sol frem til 18,60.024832439172215,11.102058330668607
Brasserie Blanche,Nei,,19:00,Sol frem til 19,59.923706556967986,10.725612330597993
Røør,,,,"Our outside seating is pretty minimal I’m afraid. It’s for smokers and groups of 2 really, though it does catch the sun beautifully in the early afternoon!",59.91554045007046,10.740157569222422
Cafe Lotus,Ja,,,,59.91337583446975,10.747451130590912
Lanternen Bygdøy,Ja,,,"Til ca 21, men hele dagen",59.90762686530511,10.695494661271955
El Aroma,Ja,,,"Hele dagen stort sett, mest kl 13, og utover til kl 18 ca",59.924774736405716,10.723829876626343
Lett Sjølyst,Nei,10:00,19:00,,59.9209022748561,10.683171769226236
Lett Hegdehaugsveien,Ja,,,,59.92231786664848,10.726845453336894
Mocca Kaffebar,,,12:00,Morgen frem til 10-12,59.91981938748368,10.7188395533353
Smalhans,Nei,12:00,18:00,,59.92407743068542,10.739835922653286
RollSushi,Nei,12:00,20:00,,59.93112935818078,10.712226522658096
The Scotsman,Nei,,,Tidlig formiddag,59.9129623387553,10.743397299905727
Ostara,Nei,14:30,17:00,12 sitteplasser,59.911168919415104,10.744445391959276
Eckers Cafe,Ja,,,,59.920456308616714,10.707751391965928
Lett Drammen,Ja,,,,59.743794238251674,10.206005391842874
Baker Hansen Rådhuset,Nei,11:00,,11 og utover,59.91098929044495,10.73865662264419
Torggata botaniske,Nei,14:00,16:00,og fra 17-18:30,59.91676746675391,10.751870184565695
Tostrup Uteservering,Ja,,,,59.91377313035239,10.740777745933807
MadAtBar,Nei,,20:00,Frem til 20.00,59.92337547655556,10.75216938457037
Frenchie,Nei,13:00,20:00,,59.915064560434615,10.718548823194581
Digg Grunerløkka,Nei,,19:00,Skrev bare når den går ned,59.92419516487162,10.759184284571022
Java Kaffebar,Nei,09:00,12:30,Til 12/13,67.27791417294122,14.424006435347032
Abelone Kjøkken og Bar,Nei,,19:30,"Midt august 19.00. Ligger i brugata, så mye sol.",59.91418272610695,10.75651876127656
Williamsburg Bab & Beer,Nei,12:00,20:00,,59.91445620991972,10.738446099359152
Lawo Terrasse,Ja,,,,59.914736880892754,10.735726007304406
Oslo Streetfood,Nei,12:00,14:30,Til 14/15,59.91623152932014,10.750538769223049
The Highbury Pub,Nei,15:00,19:00,,59.927927602272305,10.719155291970845
Fyret Mat & drikke,Nei,11:00,15:30,,59.91567408553762,10.74851993059263
Cacadou,Nei,,20:00,,59.917203483227524,10.753185130593609
Syng Grunerløkka,Ja,,,Store deler av dagen,59.92026494027752,10.755130461280709
Cafe Sara,Nei,,17:00,Til kl 17 ca,59.9180582412426,10.754320637991558
Kullt,Nei,,19:00,Hele ettermiddagen til 18/19,59.911635243889656,10.736392268672063
Prindsen Hage,Ja,,,,59.91503990843704,10.75542721524963
Glør,Nei,15:00,19:00,,59.91488549756569,10.750078184016699
Godthåb,Nei,,18:00,Sol til 18,59.913391562434676,10.761253699906014
TGI Aker brygge,Nei,11:00,16:00,,59.91009523612431,10.726544099903851
Cafe 33,Ja,,,,59.9260815379831,10.758942561284728
Brygg Oslo,Nei,14:00,18:00,,59.91369098673889,10.74845716922124
Dapper Bistro,Nei,12:00,18:00,,59.90699715522064,10.759481607846578
Grådi,Nei,12:00,18:00,,59.914761646459404,10.771233653879454
Tatakii Asian,Ja,,,Store deler av dagen. Middelthunsgate,59.928834598739606,10.708927907314036
Oslo Mekaniske Verksted,Nei,,,Par timer på ettermiddagen,59.911926485051076,10.761987291959715
Kjøkken og Bar,Nei,,19:00,Feem til 19. ,59.915174741642545,10.748181445386894
Internasjonalen,Nei,13:00,19:30,,59.91506742109572,10.749508130592016
Fuglen Oslo,Nei,09:30,13:00,,59.9173644587688,10.740049191963813
Brød & Sirkus,Nei,,14:00,Forsvinner 13-14,59.913593987995675,10.735831623193665
Kampen Kaffe & Bar Thorbjørn Egner Plass,Nei,,18:00,,59.91238870361174,10.780801815247733
Kampen Kaffe & Bar Nannestadgata,Nei,,19:00,Litt lengre enn over,59.91243173253783,10.780887645932697
Radegast,Nei,,20:00,Tipper 20:00,59.922624279120264,10.754159076624834
